account_rewards,date
1383449.2615207583,2018-04-04
-2318200.8536345065,2018-04-05
21845.424928709865,2018-04-06
1798279.7520823777,2018-04-09
-336183.3553866744,2018-04-10
155717.35809144378,2018-04-11
50480.97362405062,2018-04-12
1000746.2881812304,2018-04-13
1118645.643753752,2018-04-16
-134979.9277677387,2018-04-17
-785912.2832007855,2018-04-18
-178587.27281732857,2018-04-19
-56778.26892961562,2018-04-20
-1310611.400749579,2018-04-23
-281142.93110105395,2018-04-24
880356.5897694379,2018-04-25
-283531.7585249543,2018-04-26
-1158873.719617188,2018-04-27
-541711.108827591,2018-04-30
-765952.6349560916,2018-05-01
-472531.0496100038,2018-05-02
1490948.7824353278,2018-05-03
239161.61014655232,2018-05-04
-219549.74649097025,2018-05-07
755863.4809657633,2018-05-08
1064196.2552439123,2018-05-09
757332.8538311124,2018-05-10
1026313.0507139713,2018-05-11
-1026032.9006614685,2018-05-14
560959.6768002808,2018-05-15
-457216.4526487589,2018-05-16
48282.747231557965,2018-05-17
1198319.988292098,2018-05-18
-1054370.240562573,2018-05-21
513194.2649606317,2018-05-22
-408400.60378097,2018-05-23
-294836.7412945628,2018-05-24
-1919030.7909131944,2018-05-25
1351072.2426519692,2018-05-29
-1015533.3588018864,2018-05-30
1099460.3685589582,2018-05-31
911145.2506172657,2018-06-01
-31678.405646249652,2018-06-04
1424770.1041449606,2018-06-05
-65506.568169251084,2018-06-06
586596.0195478946,2018-06-07
-214205.6651815921,2018-06-08
-68058.32918219268,2018-06-11
-820328.7206227779,2018-06-12
57520.68935607374,2018-06-13
-219629.2956044078,2018-06-14
-681322.9663603753,2018-06-15
-1326942.8286893219,2018-06-18
-38979.85457134247,2018-06-19
-846162.7725913525,2018-06-20
438012.5579211116,2018-06-21
-1857546.6611081362,2018-06-22
818166.6551317126,2018-06-25
-582367.4972438812,2018-06-26
618530.5079823285,2018-06-27
-168607.0845527053,2018-06-28
-35278.23796930909,2018-06-29
