,Iter,Val Start,Val End,Model Used,A2C Sharpe,PPO Sharpe,DDPG Sharpe,SAC Sharpe,TD3 Sharpe
0,126,2015-10-01,2015-12-31,PPO,0.05107825765785755,0.09176360550568245,,,
1,189,2015-12-31,2016-04-04,A2C,0.08393603781842038,-0.08473179943438365,,,
2,252,2016-04-04,2016-07-01,A2C,-0.014954824705798866,-0.0899888735440004,,,
3,315,2016-07-01,2016-09-30,A2C,-0.01325752957106041,-0.2567286395021473,,,
4,378,2016-09-30,2016-12-30,A2C,0.3531051835555299,0.32375100747918084,,,
5,441,2016-12-30,2017-04-03,PPO,0.10255313999351975,0.12014102901982171,,,
6,504,2017-04-03,2017-07-03,PPO,-0.015282338224650442,0.05562679485829956,,,
7,567,2017-07-03,2017-10-02,PPO,-0.308336309283169,-0.17611430615305865,,,
8,630,2017-10-02,2018-01-02,A2C,0.4134918466788946,0.37618685638691723,,,
9,693,2018-01-02,2018-04-04,PPO,-0.13988456932418664,-0.10426962669199662,,,
10,756,2018-04-04,2018-07-03,PPO,0.025627355743593015,0.1690467447717376,,,
11,819,2018-07-03,2018-10-02,PPO,0.27632724842059864,0.3508160240653009,,,
12,882,2018-10-02,2019-01-03,PPO,-0.19921474715452878,-0.16874517239187417,,,
13,945,2019-01-03,2019-04-04,PPO,0.2928550235103266,0.36244034352956,,,
14,1008,2019-04-04,2019-07-05,A2C,-0.03559788883105139,-0.2300282661421487,,,
15,1071,2019-07-05,2019-10-03,A2C,-0.15752196098476096,-0.3502540299000682,,,
16,1134,2019-10-03,2020-01-03,PPO,0.35895699457256863,0.376716597466503,,,
